DATUM,CDU/CSU,SPD,GRÜNE,FDP,LINKE,SONSTIGE,BUNDESTAGSWAHL,BEFRAGTE,AFD,INSTITUT
1998-03-25,32.1,42.7,10.2,5.8,5.4,1.8,False,,,ALLENSBACH
1998-04-29,31.3,45.2,8.5,5.8,5.2,1.2,False,,,ALLENSBACH
1998-05-20,31.0,45.5,7.5,5.7,5.9,2.9,False,,,ALLENSBACH
1998-06-17,31.1,44.4,7.6,6.9,5.7,2.0,False,,,ALLENSBACH
1998-08-12,33.0,43.8,7.0,6.6,5.2,2.8,False,,,ALLENSBACH
1998-08-19,34.5,42.9,7.0,5.8,5.2,2.6,False,,,ALLENSBACH
1998-08-26,35.2,42.7,6.3,6.0,5.3,3.3,False,,,ALLENSBACH
1998-09-02,35.5,41.1,7.0,6.1,4.9,3.0,False,,,ALLENSBACH
1998-09-09,35.6,40.8,7.5,7.2,4.5,2.3,False,,,ALLENSBACH
1998-09-16,35.5,41.4,7.0,6.6,5.0,4.5,False,,,ALLENSBACH
1998-09-23,36.1,41.1,7.0,6.5,4.7,4.6,False,,,ALLENSBACH
1998-09-26,36.0,40.5,6.0,6.5,5.0,6.0,False,,,ALLENSBACH
1998-09-27,35.1,40.9,6.7,6.2,5.1,4.0,True,,,ALLENSBACH
1998-12-16,36.3,39.4,7.2,6.0,,,False,,,ALLENSBACH
1999-03-17,38.7,37.0,6.8,7.4,5.7,2.7,False,,,ALLENSBACH
1999-04-14,37.9,37.6,6.5,7.5,5.5,2.7,False,,,ALLENSBACH
1999-05-19,36.8,37.3,7.8,7.0,5.9,1.8,False,,,ALLENSBACH
1999-06-16,39.7,35.6,6.6,7.7,5.8,2.7,False,,,ALLENSBACH
1999-07-21,43.3,32.6,6.7,7.0,5.9,2.0,False,,,ALLENSBACH
1999-08-18,42.2,32.6,7.4,6.6,6.0,2.1,False,,,ALLENSBACH
1999-09-15,42.0,32.9,7.2,6.6,7.0,1.7,False,,,ALLENSBACH
1999-10-13,44.5,30.8,6.8,5.9,7.2,2.5,False,,,ALLENSBACH
1999-11-17,44.7,30.4,6.9,6.9,6.8,2.7,False,,,ALLENSBACH
1999-12-15,41.6,32.3,7.5,6.4,7.1,1.7,False,,,ALLENSBACH
2000-01-19,37.8,36.9,7.5,6.3,6.5,3.3,False,,,ALLENSBACH
2000-02-23,31.3,40.3,8.0,7.7,6.7,3.5,False,,,ALLENSBACH
2000-03-22,31.3,39.8,8.5,7.9,7.1,2.3,False,,,ALLENSBACH
2000-04-19,32.0,38.6,8.4,8.4,7.1,2.1,False,,,ALLENSBACH
2000-06-14,33.0,35.9,7.9,11.1,6.5,1.8,False,,,ALLENSBACH
2000-07-19,32.3,37.1,7.1,11.5,6.8,3.0,False,,,ALLENSBACH
2000-08-16,32.4,39.0,6.9,10.1,6.3,2.5,False,,,ALLENSBACH
2000-09-27,33.1,39.0,7.4,9.8,6.2,2.9,False,,,ALLENSBACH
