DATUM,CDU/CSU,SPD,GRÜNE,FDP,LINKE,SONSTIGE,BUNDESTAGSWAHL,BEFRAGTE,AFD,INSTITUT
1994-10-16,41.5,36.4,7.3,6.9,4.4,3.5,False,,,POLITBAROMETER
1998-01-16,37.0,38.0,10.0,6.0,4.0,5.0,False,,,POLITBAROMETER
1998-02-13,37.0,39.0,10.0,6.0,4.0,4.0,False,,,POLITBAROMETER
1998-03-13,36.0,41.0,9.0,5.0,4.0,5.0,False,,,POLITBAROMETER
1998-03-25,32.1,42.7,10.2,5.8,5.4,1.8,False,,,ALLENSBACH
1998-04-02,34.0,44.0,6.0,5.0,6.0,5.0,False,,,FORSA
1998-04-03,36.0,41.0,7.0,5.0,4.0,7.0,False,,,EMNID
1998-04-04,34.0,46.0,6.0,5.0,4.0,3.0,False,,,DIMAP
1998-04-08,34.0,44.0,6.0,5.0,6.0,5.0,False,,,FORSA
1998-04-10,35.0,41.0,7.0,6.0,4.0,7.0,False,,,EMNID
1998-04-11,35.0,45.0,6.0,5.0,4.0,3.0,False,,,DIMAP
1998-04-16,35.0,43.0,6.0,5.0,5.0,6.0,False,,,FORSA
1998-04-17,36.0,41.0,6.0,6.0,5.0,6.0,False,,,EMNID
1998-04-17,35.0,43.0,8.0,5.0,4.0,5.0,False,,,POLITBAROMETER
1998-04-18,36.0,45.0,6.0,5.0,4.0,2.0,False,,,DIMAP
1998-04-24,35.0,43.0,6.0,6.0,5.0,5.0,False,,,EMNID
1998-04-25,36.0,45.0,6.0,5.0,4.0,2.0,False,,,DIMAP
1998-04-29,31.3,45.2,8.5,5.8,5.2,1.2,False,,,ALLENSBACH
1998-05-01,35.0,44.0,6.0,6.0,4.0,5.0,False,,,EMNID
1998-05-02,35.0,45.0,6.0,5.0,4.0,1.0,False,,,DIMAP
1998-05-06,32.0,46.0,6.0,6.0,5.0,5.0,False,,,FORSA
1998-05-08,35.0,43.0,6.0,6.0,5.0,5.0,False,,,EMNID
1998-05-09,34.0,44.0,6.0,6.0,5.0,1.0,False,,,DIMAP
1998-05-13,33.0,46.0,5.0,5.0,5.0,6.0,False,,,FORSA
1998-05-15,35.0,43.0,6.0,6.0,5.0,2.0,False,,,EMNID
1998-05-15,35.0,43.0,8.0,5.0,5.0,4.0,False,,,POLITBAROMETER
1998-05-16,35.0,44.0,6.0,5.0,5.0,1.0,False,,,DIMAP
1998-05-20,33.0,45.0,5.0,5.0,6.0,2.0,False,,,FORSA
1998-05-20,31.0,45.5,7.5,5.7,5.9,2.9,False,,,ALLENSBACH
1998-05-22,37.0,43.0,6.0,5.0,4.0,3.0,False,,,EMNID
1998-05-23,37.0,43.0,6.0,4.0,5.0,2.0,False,,,DIMAP
1998-05-27,35.0,43.0,6.0,4.0,6.0,2.0,False,,,FORSA
1998-05-29,37.0,44.0,5.0,5.0,5.0,1.0,False,,,EMNID
1998-05-30,36.0,44.0,6.0,5.0,4.0,2.0,False,,,DIMAP
1998-06-04,36.0,43.0,6.0,4.0,6.0,2.0,False,,,FORSA
1998-06-05,37.0,43.0,4.0,6.0,4.0,3.0,False,,,EMNID
1998-06-06,35.0,44.0,7.0,5.0,4.0,1.0,False,,,DIMAP
1998-06-11,36.0,43.0,6.0,4.0,6.0,2.0,False,,,FORSA
1998-06-12,36.0,41.0,6.0,6.0,5.0,3.0,False,,,EMNID
1998-06-13,36.0,44.0,7.0,5.0,4.0,1.0,False,,,DIMAP
1998-06-17,31.1,44.4,7.6,6.9,5.7,2.0,False,,,ALLENSBACH
1998-06-18,36.0,43.0,7.0,4.0,5.0,2.0,False,,,FORSA
1998-06-19,37.0,42.0,6.0,6.0,4.0,2.0,False,,,EMNID
1998-06-19,36.0,42.0,8.0,5.0,4.0,5.0,False,,,POLITBAROMETER
1998-06-20,36.0,43.0,7.0,5.0,5.0,1.0,False,,,DIMAP
1998-06-25,36.0,43.0,6.0,4.0,6.0,2.0,False,,,FORSA
1998-06-26,37.0,42.0,6.0,6.0,5.0,2.0,False,,,EMNID
1998-06-27,36.0,44.0,7.0,5.0,5.0,1.0,False,,,DIMAP
1998-07-02,35.0,43.0,5.0,5.0,6.0,3.0,False,,,FORSA
1998-07-03,37.0,42.0,6.0,6.0,5.0,2.0,False,,,EMNID
1998-07-04,35.0,44.0,7.0,5.0,4.0,2.0,False,,,DIMAP
1998-07-09,34.0,43.0,6.0,5.0,6.0,3.0,False,,,FORSA
1998-07-10,37.0,42.0,5.0,6.0,4.0,2.0,False,,,EMNID
1998-07-11,36.0,44.0,6.0,5.0,4.0,2.0,False,,,DIMAP
1998-07-16,36.0,43.0,6.0,5.0,4.0,2.0,False,,,FORSA
1998-07-17,37.0,42.0,7.0,5.0,4.0,5.0,False,,,POLITBAROMETER
1998-07-17,37.0,42.0,5.0,5.0,4.0,3.0,False,,,EMNID
1998-07-18,37.0,43.0,7.0,5.0,4.0,1.0,False,,,DIMAP
1998-07-23,36.0,43.0,6.0,5.0,5.0,2.0,False,,,FORSA
1998-07-24,37.0,42.0,6.0,5.0,4.0,2.0,False,,,EMNID
1998-07-25,37.0,43.0,7.0,5.0,4.0,1.0,False,,,DIMAP
1998-07-30,36.0,43.0,6.0,5.0,4.0,2.0,False,,,FORSA
1998-07-31,37.0,41.0,7.0,5.0,4.0,2.0,False,,,EMNID
1998-08-01,36.0,43.0,7.0,5.0,4.0,2.0,False,,,DIMAP
1998-08-06,37.0,43.0,7.0,4.0,5.0,1.0,False,,,FORSA
1998-08-07,38.0,41.0,6.0,6.0,4.0,2.0,False,,,EMNID
1998-08-08,37.0,42.0,7.0,6.0,4.0,1.0,False,,,DIMAP
1998-08-12,33.0,43.8,7.0,6.6,5.2,2.8,False,,,ALLENSBACH
1998-08-13,37.0,43.0,6.0,4.0,4.0,2.0,False,,,FORSA
1998-08-14,38.0,42.0,6.0,5.0,4.0,5.0,False,,,POLITBAROMETER
1998-08-14,38.0,41.0,6.0,5.0,4.0,3.0,False,,,EMNID
1998-08-15,37.0,42.0,7.0,5.0,5.0,1.0,False,,,DIMAP
1998-08-19,34.5,42.9,7.0,5.8,5.2,2.6,False,,,ALLENSBACH
1998-08-20,38.0,43.0,6.0,4.0,4.0,1.0,False,,,FORSA
1998-08-21,39.0,42.0,6.0,5.0,4.0,1.0,False,,,EMNID
1998-08-22,38.0,43.0,6.0,5.0,4.0,1.0,False,,,DIMAP
1998-08-26,35.2,42.7,6.3,6.0,5.3,3.3,False,,,ALLENSBACH
1998-08-27,37.0,42.0,6.0,4.0,5.0,6.0,False,,,FORSA
1998-08-28,38.0,41.0,6.0,5.0,4.0,2.0,False,,,EMNID
1998-08-28,38.0,42.0,6.0,4.0,5.0,5.0,False,,,FORSA
1998-08-29,38.0,43.0,6.0,5.0,4.0,1.0,False,,,DIMAP
1998-08-30,38.0,42.0,6.0,4.0,5.0,5.0,False,,,FORSA
1998-08-31,38.0,42.0,6.0,4.0,5.0,5.0,False,,,FORSA
1998-09-01,37.0,42.0,5.0,5.0,5.0,6.0,False,,,FORSA
1998-09-02,37.0,42.0,6.0,5.0,4.0,6.0,False,,,FORSA
1998-09-02,35.5,41.1,7.0,6.1,4.9,3.0,False,,,ALLENSBACH
1998-09-03,37.0,42.0,6.0,5.0,4.0,6.0,False,,,FORSA
1998-09-04,37.0,42.0,7.0,5.0,4.0,5.0,False,,,FORSA
1998-09-04,38.0,41.0,6.0,5.0,4.0,6.0,False,,,POLITBAROMETER
1998-09-04,37.0,42.0,6.0,5.0,5.0,1.0,False,,,EMNID
1998-09-05,37.0,43.0,7.0,5.0,4.0,1.0,False,,,DIMAP
1998-09-05,37.0,42.0,6.0,5.0,4.0,6.0,False,,,FORSA
1998-09-06,37.0,42.0,6.0,5.0,4.0,6.0,False,,,FORSA
1998-09-07,37.0,43.0,6.0,5.0,4.0,5.0,False,,,FORSA
1998-09-08,37.0,43.0,7.0,4.0,4.0,5.0,False,,,FORSA
1998-09-09,35.6,40.8,7.5,7.2,4.5,2.3,False,,,ALLENSBACH
1998-09-09,37.0,43.0,6.0,4.0,4.0,6.0,False,,,FORSA
1998-09-10,37.0,42.0,6.0,4.0,5.0,6.0,False,,,FORSA
1998-09-11,37.0,43.0,6.0,4.0,4.0,6.0,False,,,FORSA
1998-09-11,37.0,41.0,6.0,6.0,4.0,6.0,False,,,POLITBAROMETER
1998-09-11,38.0,41.0,6.0,5.0,5.0,5.0,False,,,EMNID
1998-09-12,36.0,42.0,6.0,5.0,5.0,6.0,False,,,FORSA
1998-09-12,37.0,42.0,7.0,5.0,4.0,1.0,False,,,DIMAP
1998-09-13,36.0,42.0,6.0,5.0,5.0,6.0,False,,,FORSA
1998-09-14,36.0,42.0,6.0,5.0,5.0,6.0,False,,,FORSA
1998-09-15,38.0,41.0,7.0,5.0,4.0,5.0,False,,,FORSA
1998-09-16,35.5,41.4,7.0,6.6,5.0,4.5,False,,,ALLENSBACH
1998-09-16,38.0,42.0,7.0,4.0,4.0,5.0,False,,,FORSA
1998-09-17,38.0,42.0,7.0,4.0,4.0,5.0,False,,,FORSA
1998-09-18,38.0,42.0,6.0,5.0,4.0,5.0,False,,,FORSA
1998-09-18,37.5,39.5,6.0,5.5,4.5,7.0,False,,,POLITBAROMETER
1998-09-18,39.0,41.0,6.0,5.0,5.0,1.0,False,,,EMNID
1998-09-19,38.0,42.0,6.0,5.0,4.0,5.0,False,,,FORSA
1998-09-19,38.0,41.0,7.0,6.0,5.0,1.0,False,,,DIMAP
1998-09-20,38.0,42.0,6.0,5.0,4.0,5.0,False,,,FORSA
1998-09-21,38.0,41.0,7.0,5.0,4.0,5.0,False,,,FORSA
1998-09-22,38.0,41.0,7.0,5.0,4.0,5.0,False,,,FORSA
1998-09-23,37.0,42.0,6.0,6.0,4.0,5.0,False,,,FORSA
1998-09-23,36.1,41.1,7.0,6.5,4.7,4.6,False,,,ALLENSBACH
1998-09-24,38.0,42.0,6.0,5.0,4.0,5.0,False,,,FORSA
1998-09-25,39.0,40.0,7.0,5.0,4.0,5.0,False,,,EMNID
1998-09-25,38.0,42.0,6.0,5.0,4.0,5.0,False,,,FORSA
1998-09-26,36.0,40.5,6.0,6.5,5.0,6.0,False,,,ALLENSBACH
1998-09-26,38.0,40.0,7.0,6.0,5.0,1.0,False,,,DIMAP
1998-09-27,35.1,40.9,6.7,6.2,5.1,5.9,True,,,BUNDESTAGSWAHL
1998-09-29,38.0,42.0,6.0,4.0,5.0,5.0,False,,,FORSA
1998-10-02,36.0,41.0,7.0,6.0,5.0,2.0,False,,,DIMAP
1998-10-09,35.0,42.0,6.0,6.0,5.0,2.0,False,,,EMNID
1998-10-10,36.0,42.0,7.0,6.0,5.0,2.0,False,,,DIMAP
1998-10-16,35.0,44.0,6.0,5.0,4.0,6.0,False,,,POLITBAROMETER
1998-10-16,35.0,41.0,6.0,6.0,5.0,3.0,False,,,EMNID
1998-10-17,36.0,40.0,8.0,7.0,5.0,2.0,False,,,DIMAP
1998-10-23,35.0,42.0,6.0,6.0,5.0,2.0,False,,,EMNID
