DATUM,CDU/CSU,SPD,GRÜNE,FDP,LINKE,SONSTIGE,BEFRAGTE,BUNDESTAGSWAHL,AFD,INSTITUT
1998-04-04,34.0,46.0,6.0,5.0,4.0,3.0,,False,,DIMAP
1998-04-11,35.0,45.0,6.0,5.0,4.0,3.0,,False,,DIMAP
1998-04-18,36.0,45.0,6.0,5.0,4.0,2.0,,False,,DIMAP
1998-04-25,36.0,45.0,6.0,5.0,4.0,2.0,,False,,DIMAP
1998-05-02,35.0,45.0,6.0,5.0,4.0,1.0,,False,,DIMAP
1998-05-09,34.0,44.0,6.0,6.0,5.0,1.0,,False,,DIMAP
1998-05-16,35.0,44.0,6.0,5.0,5.0,1.0,,False,,DIMAP
1998-05-23,37.0,43.0,6.0,4.0,5.0,2.0,,False,,DIMAP
1998-05-30,36.0,44.0,6.0,5.0,4.0,2.0,,False,,DIMAP
1998-06-06,35.0,44.0,7.0,5.0,4.0,1.0,,False,,DIMAP
1998-06-13,36.0,44.0,7.0,5.0,4.0,1.0,,False,,DIMAP
1998-06-20,36.0,43.0,7.0,5.0,5.0,1.0,,False,,DIMAP
1998-06-27,36.0,44.0,7.0,5.0,5.0,1.0,,False,,DIMAP
1998-07-04,35.0,44.0,7.0,5.0,4.0,2.0,,False,,DIMAP
1998-07-11,36.0,44.0,6.0,5.0,4.0,2.0,,False,,DIMAP
1998-07-18,37.0,43.0,7.0,5.0,4.0,1.0,,False,,DIMAP
1998-07-25,37.0,43.0,7.0,5.0,4.0,1.0,,False,,DIMAP
1998-08-01,36.0,43.0,7.0,5.0,4.0,2.0,,False,,DIMAP
1998-08-08,37.0,42.0,7.0,6.0,4.0,1.0,,False,,DIMAP
1998-08-15,37.0,42.0,7.0,5.0,5.0,1.0,,False,,DIMAP
1998-08-22,38.0,43.0,6.0,5.0,4.0,1.0,,False,,DIMAP
1998-08-29,38.0,43.0,6.0,5.0,4.0,1.0,,False,,DIMAP
1998-09-05,37.0,43.0,7.0,5.0,4.0,1.0,,False,,DIMAP
1998-09-12,37.0,42.0,7.0,5.0,4.0,1.0,,False,,DIMAP
1998-09-19,38.0,41.0,7.0,6.0,5.0,1.0,,False,,DIMAP
1998-09-26,38.0,40.0,7.0,6.0,5.0,1.0,,False,,DIMAP
1998-09-27,35.1,40.9,6.7,6.2,5.1,2.8,,True,,DIMAP
1998-10-02,36.0,41.0,7.0,6.0,5.0,2.0,,False,,DIMAP
1998-10-10,36.0,42.0,7.0,6.0,5.0,2.0,,False,,DIMAP
1998-10-17,36.0,40.0,8.0,7.0,5.0,2.0,,False,,DIMAP
1998-10-24,36.0,40.0,8.0,7.0,5.0,2.0,,False,,DIMAP
1998-10-31,36.0,41.0,7.0,6.0,5.0,2.0,,False,,DIMAP
1998-11-07,37.0,42.0,7.0,5.0,5.0,2.0,,False,,DIMAP
1998-11-14,37.0,41.0,7.0,6.0,5.0,2.0,,False,,DIMAP
1998-11-21,37.0,42.0,7.0,5.0,5.0,1.0,,False,,DIMAP
1998-11-28,37.0,42.0,7.0,5.0,5.0,1.0,,False,,DIMAP
1998-12-05,39.0,39.0,7.0,5.0,5.0,2.0,,False,,DIMAP
1998-12-12,38.0,39.0,8.0,6.0,5.0,2.0,,False,,DIMAP
1998-12-19,38.0,40.0,8.0,5.0,5.0,1.0,,False,,DIMAP
1999-01-09,39.0,41.0,7.0,5.0,4.0,1.0,,False,,DIMAP
1999-01-16,39.0,41.0,7.0,6.0,4.0,1.0,,False,,DIMAP
1999-01-23,40.0,40.0,6.0,5.0,5.0,1.0,,False,,DIMAP
1999-01-30,39.0,41.0,6.0,5.0,4.0,2.0,,False,,DIMAP
1999-02-06,39.0,40.0,7.0,5.0,5.0,1.0,,False,,DIMAP
1999-02-13,41.0,38.0,6.0,5.0,5.0,2.0,,False,,DIMAP
1999-02-20,41.0,39.0,6.0,5.0,5.0,1.0,,False,,DIMAP
1999-02-27,41.0,40.0,6.0,5.0,4.0,1.0,,False,,DIMAP
1999-03-06,41.0,38.0,6.0,5.0,5.0,2.0,,False,,DIMAP
1999-03-13,42.0,38.0,6.0,5.0,5.0,1.0,,False,,DIMAP
1999-03-20,43.0,38.0,6.0,5.0,5.0,1.0,,False,,DIMAP
1999-03-27,43.0,36.0,7.0,5.0,6.0,1.0,,False,,DIMAP
1999-04-03,43.0,36.0,6.0,5.0,6.0,1.0,,False,,DIMAP
1999-04-10,43.0,35.0,6.0,5.0,6.0,2.0,,False,,DIMAP
1999-04-17,43.0,36.0,6.0,5.0,6.0,2.0,,False,,DIMAP
1999-04-24,43.0,35.0,6.0,5.0,6.0,2.0,,False,,DIMAP
1999-05-01,42.0,37.0,5.0,5.0,6.0,3.0,,False,,DIMAP
1999-05-08,42.0,37.0,6.0,5.0,6.0,2.0,,False,,DIMAP
1999-05-15,44.0,36.0,6.0,5.0,5.0,2.0,,False,,DIMAP
1999-05-22,44.0,35.0,7.0,5.0,6.0,1.0,,False,,DIMAP
1999-05-29,43.0,36.0,6.0,5.0,6.0,1.0,,False,,DIMAP
1999-06-05,45.0,34.0,6.0,5.0,6.0,4.0,,False,,DIMAP
1999-06-12,43.0,37.0,6.0,5.0,5.0,4.0,,False,,DIMAP
1999-06-19,46.0,33.0,7.0,5.0,5.0,4.0,,False,,DIMAP
1999-06-26,45.0,33.0,6.0,5.0,6.0,2.0,,False,,DIMAP
1999-07-03,45.0,33.0,6.0,5.0,6.0,3.0,,False,,DIMAP
1999-07-10,44.0,35.0,6.0,5.0,5.0,2.0,,False,,DIMAP
1999-07-17,44.0,34.0,6.0,5.0,6.0,2.0,,False,,DIMAP
1999-07-24,45.0,33.0,7.0,5.0,6.0,4.0,,False,,DIMAP
1999-07-31,45.0,33.0,7.0,5.0,6.0,1.0,,False,,DIMAP
1999-08-07,46.0,33.0,6.0,5.0,6.0,1.0,,False,,DIMAP
1999-08-14,46.0,33.0,6.0,5.0,6.0,1.0,,False,,DIMAP
1999-08-21,47.0,32.0,6.0,5.0,6.0,1.0,,False,,DIMAP
1999-08-28,47.0,32.0,6.0,5.0,6.0,2.0,,False,,DIMAP
