DATUM,CDU/CSU,SPD,GRÜNE,FDP,LINKE,SONSTIGE,BEFRAGTE,BUNDESTAGSWAHL,AFD,INSTITUT
1998-04-03,36.0,41.0,7.0,5.0,4.0,7.0,,False,,EMNID
1998-04-10,35.0,41.0,7.0,6.0,4.0,7.0,,False,,EMNID
1998-04-17,36.0,41.0,6.0,6.0,5.0,6.0,,False,,EMNID
1998-04-24,35.0,43.0,6.0,6.0,5.0,5.0,,False,,EMNID
1998-05-01,35.0,44.0,6.0,6.0,4.0,5.0,,False,,EMNID
1998-05-08,35.0,43.0,6.0,6.0,5.0,5.0,,False,,EMNID
1998-05-15,35.0,43.0,6.0,6.0,5.0,2.0,,False,,EMNID
1998-05-22,37.0,43.0,6.0,5.0,4.0,3.0,,False,,EMNID
1998-05-29,37.0,44.0,5.0,5.0,5.0,1.0,,False,,EMNID
1998-06-05,37.0,43.0,4.0,6.0,4.0,3.0,,False,,EMNID
1998-06-12,36.0,41.0,6.0,6.0,5.0,3.0,,False,,EMNID
1998-06-19,37.0,42.0,6.0,6.0,4.0,2.0,,False,,EMNID
1998-06-26,37.0,42.0,6.0,6.0,5.0,2.0,,False,,EMNID
1998-07-03,37.0,42.0,6.0,6.0,5.0,2.0,,False,,EMNID
1998-07-10,37.0,42.0,5.0,6.0,4.0,2.0,,False,,EMNID
1998-07-17,37.0,42.0,5.0,5.0,4.0,3.0,,False,,EMNID
1998-07-24,37.0,42.0,6.0,5.0,4.0,2.0,,False,,EMNID
1998-07-31,37.0,41.0,7.0,5.0,4.0,2.0,,False,,EMNID
1998-08-07,38.0,41.0,6.0,6.0,4.0,2.0,,False,,EMNID
1998-08-14,38.0,41.0,6.0,5.0,4.0,3.0,,False,,EMNID
1998-08-21,39.0,42.0,6.0,5.0,4.0,1.0,,False,,EMNID
1998-08-28,38.0,41.0,6.0,5.0,4.0,2.0,,False,,EMNID
1998-09-04,37.0,42.0,6.0,5.0,5.0,1.0,,False,,EMNID
1998-09-11,38.0,41.0,6.0,5.0,5.0,5.0,,False,,EMNID
1998-09-18,39.0,41.0,6.0,5.0,5.0,1.0,,False,,EMNID
1998-09-25,39.0,40.0,7.0,5.0,4.0,5.0,,False,,EMNID
