DATUM,CDU/CSU,SPD,GRÜNE,FDP,LINKE,SONSTIGE,BEFRAGTE,BUNDESTAGSWAHL,AFD,NICHTWÄHLER/UNENTSCHL.,INSTITUT
1998-04-02,34.0,44.0,6.0,5.0,6.0,5.0,,False,,,FORSA
1998-04-08,34.0,44.0,6.0,5.0,6.0,5.0,,False,,,FORSA
1998-04-16,35.0,43.0,6.0,5.0,5.0,6.0,,False,,,FORSA
1998-05-06,32.0,46.0,6.0,6.0,5.0,5.0,,False,,,FORSA
1998-05-13,33.0,46.0,5.0,5.0,5.0,6.0,,False,,,FORSA
1998-05-20,33.0,45.0,5.0,5.0,6.0,2.0,,False,,,FORSA
1998-05-27,35.0,43.0,6.0,4.0,6.0,2.0,,False,,,FORSA
1998-06-04,36.0,43.0,6.0,4.0,6.0,2.0,,False,,,FORSA
1998-06-11,36.0,43.0,6.0,4.0,6.0,2.0,,False,,,FORSA
1998-06-18,36.0,43.0,7.0,4.0,5.0,2.0,,False,,,FORSA
1998-06-25,36.0,43.0,6.0,4.0,6.0,2.0,,False,,,FORSA
1998-07-02,35.0,43.0,5.0,5.0,6.0,3.0,,False,,,FORSA
1998-07-09,34.0,43.0,6.0,5.0,6.0,3.0,,False,,,FORSA
1998-07-16,36.0,43.0,6.0,5.0,4.0,2.0,,False,,,FORSA
1998-07-23,36.0,43.0,6.0,5.0,5.0,2.0,,False,,,FORSA
1998-07-30,36.0,43.0,6.0,5.0,4.0,2.0,,False,,,FORSA
1998-08-06,37.0,43.0,7.0,4.0,5.0,1.0,,False,,,FORSA
1998-08-13,37.0,43.0,6.0,4.0,4.0,2.0,,False,,,FORSA
1998-08-20,38.0,43.0,6.0,4.0,4.0,1.0,,False,,,FORSA
1998-08-27,37.0,42.0,6.0,4.0,5.0,6.0,,False,,,FORSA
1998-08-28,38.0,42.0,6.0,4.0,5.0,5.0,,False,,,FORSA
1998-08-30,38.0,42.0,6.0,4.0,5.0,5.0,,False,,,FORSA
1998-08-31,38.0,42.0,6.0,4.0,5.0,5.0,,False,,,FORSA
1998-09-01,37.0,42.0,5.0,5.0,5.0,6.0,,False,,,FORSA
1998-09-02,37.0,42.0,6.0,5.0,4.0,6.0,,False,,,FORSA
1998-09-03,37.0,42.0,6.0,5.0,4.0,6.0,,False,,,FORSA
1998-09-04,37.0,42.0,7.0,5.0,4.0,5.0,,False,,,FORSA
1998-09-05,37.0,42.0,6.0,5.0,4.0,6.0,,False,,,FORSA
1998-09-06,37.0,42.0,6.0,5.0,4.0,6.0,,False,,,FORSA
1998-09-07,37.0,43.0,6.0,5.0,4.0,5.0,,False,,,FORSA
1998-09-08,37.0,43.0,7.0,4.0,4.0,5.0,,False,,,FORSA
1998-09-09,37.0,43.0,6.0,4.0,4.0,6.0,,False,,,FORSA
1998-09-10,37.0,42.0,6.0,4.0,5.0,6.0,,False,,,FORSA
1998-09-11,37.0,43.0,6.0,4.0,4.0,6.0,,False,,,FORSA
1998-09-12,36.0,42.0,6.0,5.0,5.0,6.0,,False,,,FORSA
1998-09-13,36.0,42.0,6.0,5.0,5.0,6.0,,False,,,FORSA
1998-09-14,36.0,42.0,6.0,5.0,5.0,6.0,,False,,,FORSA
1998-09-15,38.0,41.0,7.0,5.0,4.0,5.0,,False,,,FORSA
1998-09-16,38.0,42.0,7.0,4.0,4.0,5.0,,False,,,FORSA
1998-09-17,38.0,42.0,7.0,4.0,4.0,5.0,,False,,,FORSA
1998-09-18,38.0,42.0,6.0,5.0,4.0,5.0,,False,,,FORSA
1998-09-19,38.0,42.0,6.0,5.0,4.0,5.0,,False,,,FORSA
1998-09-20,38.0,42.0,6.0,5.0,4.0,5.0,,False,,,FORSA
1998-09-21,38.0,41.0,7.0,5.0,4.0,5.0,,False,,,FORSA
1998-09-22,38.0,41.0,7.0,5.0,4.0,5.0,,False,,,FORSA
1998-09-23,37.0,42.0,6.0,6.0,4.0,5.0,,False,,,FORSA
1998-09-24,38.0,42.0,6.0,5.0,4.0,5.0,,False,,,FORSA
1998-09-25,38.0,42.0,6.0,5.0,4.0,5.0,,False,,,FORSA
1998-09-27,35.1,40.9,6.7,6.2,5.1,2.6,,True,,,FORSA
1998-09-29,38.0,42.0,6.0,4.0,5.0,5.0,,False,,,FORSA
1998-10-29,39.0,39.0,6.0,6.0,5.0,5.0,,False,,,FORSA
1998-11-05,38.0,39.0,7.0,6.0,5.0,5.0,,False,,,FORSA
1998-11-12,38.0,39.0,6.0,6.0,6.0,5.0,,False,,,FORSA
1998-11-19,37.0,39.0,7.0,6.0,6.0,5.0,,False,,,FORSA
1998-11-26,38.0,38.0,7.0,5.0,5.0,7.0,,False,,,FORSA
1998-12-03,39.0,38.0,7.0,5.0,5.0,6.0,,False,,,FORSA
1998-12-10,39.0,38.0,6.0,5.0,6.0,6.0,,False,,,FORSA
1998-12-17,37.0,40.0,6.0,5.0,5.0,7.0,,False,,,FORSA
1999-01-07,37.0,39.0,7.0,5.0,5.0,7.0,,False,,,FORSA
1999-01-14,37.0,39.0,7.0,5.0,6.0,6.0,,False,,,FORSA
1999-01-21,38.0,39.0,7.0,5.0,5.0,6.0,,False,,,FORSA
1999-01-28,39.0,39.0,7.0,5.0,5.0,5.0,,False,,,FORSA
1999-02-04,39.0,39.0,6.0,6.0,5.0,5.0,,False,,,FORSA
1999-02-11,40.0,38.0,6.0,6.0,5.0,5.0,,False,,,FORSA
1999-02-18,41.0,38.0,6.0,5.0,5.0,5.0,,False,,,FORSA
1999-02-25,42.0,37.0,6.0,6.0,4.0,5.0,,False,,,FORSA
1999-03-04,41.0,38.0,6.0,5.0,5.0,5.0,,False,,,FORSA
1999-03-11,42.0,37.0,7.0,5.0,5.0,4.0,,False,,,FORSA
1999-03-18,43.0,35.0,7.0,5.0,5.0,5.0,,False,,,FORSA
1999-03-25,44.0,34.0,7.0,5.0,6.0,4.0,,False,,,FORSA
