DATUM,CDU/CSU,SPD,GRÜNE,FDP,LINKE,SONSTIGE,BEFRAGTE,BUNDESTAGSWAHL,AFD,INSTITUT
2002-02-22,40.5,36.0,6.0,9.0,5.5,3.0,1512.0,False,,GMS
2002-04-18,40.0,36.0,7.0,9.0,5.0,3.0,1524.0,False,,GMS
2002-06-19,39.5,35.0,6.0,10.0,6.0,3.5,1501.0,False,,GMS
2002-08-28,39.5,36.0,7.0,9.0,5.0,3.5,1505.0,False,,GMS
2002-09-22,38.5,38.5,8.6,7.4,4.0,3.0,,True,,GMS
2003-02-19,48.0,28.0,10.0,7.0,4.0,3.0,1007.0,False,,GMS
2003-03-19,47.0,28.0,11.0,8.0,3.0,3.0,1013.0,False,,GMS
2003-04-17,45.5,29.5,10.5,7.5,4.0,3.0,1007.0,False,,GMS
2003-05-22,48.0,26.5,11.5,7.0,3.0,4.0,1009.0,False,,GMS
2003-06-19,47.0,28.5,10.5,8.0,3.0,3.0,1010.0,False,,GMS
2003-07-23,46.0,29.0,11.0,8.0,3.0,3.0,1007.0,False,,GMS
2003-08-27,46.0,29.0,11.0,8.0,3.0,3.0,1004.0,False,,GMS
2003-09-17,46.0,28.0,11.0,8.0,3.0,4.0,1011.0,False,,GMS
2003-10-23,49.0,26.0,12.0,7.0,3.0,3.0,1007.0,False,,GMS
2003-11-21,49.0,25.0,11.0,7.0,4.0,4.0,1003.0,False,,GMS
2003-12-18,48.0,27.0,11.0,7.0,4.0,3.0,1007.0,False,,GMS
2004-01-22,48.0,25.0,11.0,8.0,4.0,4.0,1013.0,False,,GMS
2004-02-19,48.0,25.0,11.0,7.5,4.5,4.0,1005.0,False,,GMS
2004-03-18,48.5,24.5,11.0,7.0,5.0,4.0,1009.0,False,,GMS
2004-04-22,46.5,26.0,11.0,7.5,5.0,4.0,1006.0,False,,GMS
2004-05-19,48.0,25.0,11.0,7.0,4.0,5.0,1002.0,False,,GMS
2004-06-24,47.0,25.0,11.0,7.0,5.0,5.0,1005.0,False,,GMS
2004-07-22,45.0,26.0,11.0,7.0,5.0,6.0,1007.0,False,,GMS
2004-08-19,43.0,25.0,13.0,8.0,7.0,4.0,1002.0,False,,GMS
2004-09-23,42.0,26.0,11.0,7.0,8.0,6.0,1005.0,False,,GMS
2004-10-21,41.0,29.0,11.0,7.0,6.5,5.5,1010.0,False,,GMS
2004-11-18,39.0,32.0,12.0,8.0,5.0,4.0,1008.0,False,,GMS
2004-12-16,40.0,32.0,11.0,8.0,6.0,3.0,1003.0,False,,GMS
2005-01-20,38.0,34.0,11.0,7.0,5.0,5.0,1009.0,False,,GMS
2005-02-21,40.0,33.0,11.0,7.0,5.0,4.0,1010.0,False,,GMS
2005-03-17,42.0,30.0,11.0,8.0,4.0,5.0,1009.0,False,,GMS
2005-04-20,45.0,29.0,9.0,7.0,5.0,5.0,1009.0,False,,GMS
2005-05-18,45.0,29.0,10.0,8.0,4.0,4.0,1008.0,False,,GMS
2005-06-23,46.0,28.0,8.0,7.0,6.0,5.0,1013.0,False,,GMS
2005-07-20,45.0,27.0,8.0,7.0,9.0,4.0,1007.0,False,,GMS
2005-08-09,43.0,29.0,8.0,7.0,10.0,3.0,1009.0,False,,GMS
2005-09-05,42.0,32.0,8.0,7.0,8.0,3.0,1005.0,False,,GMS
2005-09-12,42.0,33.0,8.0,7.0,7.0,3.0,1008.0,False,,GMS
2005-09-18,35.2,34.2,8.1,9.8,8.7,3.9,,True,,GMS
2005-09-18,35.2,34.2,8.1,9.8,8.7,3.9,,True,,GMS
2005-10-17,38.0,34.0,8.0,9.0,7.0,4.0,1014.0,False,,GMS
2005-11-14,36.0,33.0,9.0,10.0,8.0,4.0,1002.0,False,,GMS
2005-12-09,36.0,34.0,8.0,10.0,9.0,3.0,1000.0,False,,GMS
2006-01-23,38.0,31.0,8.0,11.0,9.0,3.0,1005.0,False,,GMS
2006-02-13,40.0,32.0,8.0,8.0,8.0,4.0,1011.0,False,,GMS
2006-02-24,40.0,31.0,8.0,9.0,8.0,4.0,1004.0,False,,GMS
2006-03-17,40.0,29.0,9.0,10.0,8.0,4.0,1010.0,False,,GMS
2006-04-21,38.0,33.0,9.0,8.0,8.0,4.0,1011.0,False,,GMS
2006-05-23,39.0,30.0,9.0,10.0,9.0,3.0,1008.0,False,,GMS
2006-06-21,37.0,30.0,10.0,11.0,9.0,3.0,1003.0,False,,GMS
2006-07-20,35.0,30.0,8.0,12.0,9.0,6.0,1004.0,False,,GMS
2006-08-25,32.0,30.0,11.0,13.0,8.0,6.0,1009.0,False,,GMS
2006-09-22,31.0,29.0,12.0,14.0,9.0,5.0,1006.0,False,,GMS
2006-10-20,31.0,31.0,10.0,14.0,9.0,5.0,1006.0,False,,GMS
2006-11-27,32.0,30.0,10.0,12.0,9.0,7.0,1009.0,False,,GMS
2006-12-19,36.0,31.0,10.0,10.0,9.0,4.0,1011.0,False,,GMS
2007-01-30,34.0,31.0,10.0,12.0,9.0,4.0,1009.0,False,,GMS
2007-02-23,34.0,30.0,9.0,11.0,10.0,6.0,1009.0,False,,GMS
2007-03-22,36.0,30.0,10.0,10.0,9.0,5.0,1010.0,False,,GMS
2007-04-23,36.0,29.0,9.0,12.0,10.0,4.0,1005.0,False,,GMS
2007-05-25,36.0,29.0,10.0,10.0,11.0,4.0,1006.0,False,,GMS
2007-06-25,37.0,29.0,10.0,10.0,11.0,3.0,1009.0,False,,GMS
2007-07-30,39.0,27.0,10.0,9.0,11.0,4.0,1005.0,False,,GMS
2007-08-30,38.0,29.0,9.0,9.0,11.0,4.0,1004.0,False,,GMS
2007-09-25,39.0,28.0,9.0,9.0,11.0,4.0,1005.0,False,,GMS
2007-10-30,41.0,29.0,9.0,8.0,9.0,4.0,1004.0,False,,GMS
2007-11-27,39.0,29.0,9.0,9.0,11.0,3.0,1004.0,False,,GMS
2007-12-21,38.0,28.0,10.0,10.0,11.0,3.0,1011.0,False,,GMS
2008-01-22,39.0,29.0,10.0,9.0,10.0,3.0,1006.0,False,,GMS
2008-02-19,36.0,28.0,10.0,10.0,12.0,4.0,1010.0,False,,GMS
2008-03-28,38.0,28.0,9.0,11.0,12.0,2.0,1011.0,False,,GMS
2008-04-23,39.0,27.0,11.0,9.0,11.0,3.0,1006.0,False,,GMS
2008-05-22,36.0,25.0,11.0,12.0,13.0,3.0,1000.0,False,,GMS
2008-06-27,37.0,23.0,12.0,11.0,12.0,5.0,1006.0,False,,GMS
2008-07-24,35.0,27.0,12.0,11.0,11.0,4.0,1003.0,False,,GMS
2008-08-25,38.0,23.0,11.0,12.0,13.0,3.0,1003.0,False,,GMS
2008-09-23,38.0,25.0,9.0,11.0,12.0,5.0,1003.0,False,,GMS
2008-10-22,37.0,25.0,10.0,12.0,12.0,4.0,1001.0,False,,GMS
2008-11-20,34.0,25.0,10.0,13.0,13.0,5.0,1002.0,False,,GMS
2008-12-17,38.0,24.0,11.0,13.0,11.0,3.0,1006.0,False,,GMS
2009-01-23,37.0,26.0,11.0,12.0,10.0,4.0,1004.0,False,,GMS
2009-02-17,37.0,27.0,10.0,14.0,9.0,3.0,1003.0,False,,GMS
2009-03-17,35.0,26.0,11.0,16.0,9.0,3.0,1012.0,False,,GMS
2009-04-09,36.0,26.0,10.0,16.0,8.0,4.0,1004.0,False,,GMS
2009-05-14,35.0,28.0,11.0,14.0,9.0,3.0,1002.0,False,,GMS
2009-06-18,36.0,25.0,11.0,14.0,10.0,4.0,1006.0,False,,GMS
2009-07-17,36.0,24.0,13.0,14.0,9.0,4.0,1001.0,False,,GMS
2009-08-24,37.0,23.0,13.0,13.0,9.0,5.0,1004.0,False,,GMS
2009-09-18,36.0,25.0,11.0,13.0,11.0,4.0,1002.0,False,,GMS
2009-09-27,33.8,23.0,10.7,14.6,11.9,6.0,,True,,GMS
2009-09-27,33.8,23.0,10.7,14.6,11.9,4.0,,True,,GMS
2009-10-23,35.0,21.0,11.0,14.0,14.0,5.0,1002.0,False,,GMS
2009-11-19,35.0,21.0,12.0,13.0,13.0,6.0,1001.0,False,,GMS
2009-12-14,35.0,24.0,13.0,12.0,11.0,5.0,1002.0,False,,GMS
2010-01-19,35.0,24.0,14.0,11.0,11.0,5.0,1001.0,False,,GMS
2010-03-01,35.0,25.0,15.0,10.0,9.0,6.0,1004.0,False,,GMS
