DATUM,CDU/CSU,SPD,GRÜNE,FDP,LINKE,SONSTIGE,BEFRAGTE,BUNDESTAGSWAHL,AFD,INSTITUT
1994-10-16,41.5,36.4,7.3,6.9,4.4,3.5,,False,,POLITBAROMETER
1998-01-16,37.0,38.0,10.0,6.0,4.0,5.0,,False,,POLITBAROMETER
1998-02-13,37.0,39.0,10.0,6.0,4.0,4.0,,False,,POLITBAROMETER
1998-03-13,36.0,41.0,9.0,5.0,4.0,5.0,,False,,POLITBAROMETER
1998-04-17,35.0,43.0,8.0,5.0,4.0,5.0,,False,,POLITBAROMETER
1998-05-15,35.0,43.0,8.0,5.0,5.0,4.0,,False,,POLITBAROMETER
1998-06-19,36.0,42.0,8.0,5.0,4.0,5.0,,False,,POLITBAROMETER
1998-07-17,37.0,42.0,7.0,5.0,4.0,5.0,,False,,POLITBAROMETER
1998-08-14,38.0,42.0,6.0,5.0,4.0,5.0,,False,,POLITBAROMETER
1998-09-04,38.0,41.0,6.0,5.0,4.0,6.0,,False,,POLITBAROMETER
1998-09-11,37.0,41.0,6.0,6.0,4.0,6.0,,False,,POLITBAROMETER
1998-09-18,37.5,39.5,6.0,5.5,4.5,7.0,,False,,POLITBAROMETER
1998-09-27,35.1,40.9,6.7,6.2,5.1,5.9,,False,,POLITBAROMETER
1998-09-27,35.1,40.9,6.7,6.2,5.1,5.9,,True,,POLITBAROMETER
1998-10-16,35.0,44.0,6.0,5.0,4.0,6.0,,False,,POLITBAROMETER
1998-11-13,35.0,44.0,7.0,4.0,4.0,6.0,,False,,POLITBAROMETER
1998-12-11,36.0,44.0,7.0,4.0,4.0,5.0,,False,,POLITBAROMETER
1999-01-22,37.0,44.0,6.0,4.0,4.0,5.0,,False,,POLITBAROMETER
1999-02-26,39.0,42.0,6.0,4.0,4.0,5.0,,False,,POLITBAROMETER
1999-03-19,41.0,41.0,5.0,5.0,4.0,4.0,,False,,POLITBAROMETER
1999-04-16,41.0,41.0,5.0,5.0,4.0,4.0,,False,,POLITBAROMETER
1999-05-21,42.0,40.0,5.0,5.0,4.0,4.0,,False,,POLITBAROMETER
1999-06-25,44.0,38.0,5.0,5.0,4.0,4.0,,False,,POLITBAROMETER
1999-07-23,44.0,38.0,5.0,5.0,5.0,3.0,,False,,POLITBAROMETER
1999-08-20,45.0,36.0,5.0,5.0,5.0,4.0,,False,,POLITBAROMETER
1999-09-24,47.0,34.0,5.0,5.0,5.0,4.0,,False,,POLITBAROMETER
1999-10-15,47.0,33.0,6.0,4.0,6.0,4.0,,False,,POLITBAROMETER
1999-11-12,48.0,33.0,5.0,4.0,6.0,4.0,,False,,POLITBAROMETER
1999-12-10,45.0,36.0,5.0,4.0,6.0,4.0,,False,,POLITBAROMETER
2000-01-21,40.0,39.0,6.0,5.0,6.0,4.0,,False,,POLITBAROMETER
2000-02-18,35.0,42.0,7.0,6.0,6.0,4.0,,False,,POLITBAROMETER
2000-03-17,35.0,43.0,6.0,6.0,5.0,5.0,,False,,POLITBAROMETER
2000-04-14,36.0,42.0,6.0,6.0,5.0,5.0,,False,,POLITBAROMETER
2000-05-19,37.0,40.0,6.0,7.0,5.0,5.0,,False,,POLITBAROMETER
2000-06-23,39.0,38.0,6.0,7.0,5.0,5.0,,False,,POLITBAROMETER
2000-07-28,38.0,40.0,5.0,7.0,5.0,5.0,1255.0,False,,POLITBAROMETER
2000-08-25,36.0,42.0,6.0,7.0,5.0,4.0,1219.0,False,,POLITBAROMETER
2000-09-22,38.0,40.0,6.0,6.0,5.0,5.0,1174.0,False,,POLITBAROMETER
2000-10-20,37.0,41.0,6.0,6.0,5.0,5.0,1294.0,False,,POLITBAROMETER
2000-11-17,38.0,41.0,6.0,6.0,5.0,4.0,1259.0,False,,POLITBAROMETER
2000-12-15,38.0,41.0,6.0,6.0,5.0,4.0,1271.0,False,,POLITBAROMETER
2001-01-19,38.0,41.0,6.0,6.0,5.0,4.0,1276.0,False,,POLITBAROMETER
2001-02-16,36.0,43.0,5.0,7.0,5.0,4.0,1207.0,False,,POLITBAROMETER
2001-03-16,37.0,42.0,6.0,6.0,5.0,4.0,1264.0,False,,POLITBAROMETER
2001-04-06,38.0,41.0,6.0,6.0,5.0,4.0,1264.0,False,,POLITBAROMETER
2001-05-18,36.0,41.0,5.0,8.0,5.0,5.0,1266.0,False,,POLITBAROMETER
2001-06-22,36.0,41.0,5.0,8.0,5.0,5.0,1237.0,False,,POLITBAROMETER
2001-07-20,35.0,41.0,5.0,9.0,5.0,5.0,1224.0,False,,POLITBAROMETER
2001-08-24,37.0,39.0,6.0,8.0,5.0,5.0,1245.0,False,,POLITBAROMETER
2001-09-14,38.0,40.0,5.0,7.0,5.0,5.0,1031.0,False,,POLITBAROMETER
2001-10-12,38.0,41.0,5.0,7.0,5.0,4.0,1250.0,False,,POLITBAROMETER
2001-11-15,38.0,41.0,5.0,7.0,6.0,3.0,1098.0,False,,POLITBAROMETER
2001-12-14,37.0,41.0,5.0,7.0,6.0,4.0,1254.0,False,,POLITBAROMETER
2002-01-11,39.0,39.0,5.0,7.0,6.0,4.0,1038.0,False,,POLITBAROMETER
2002-01-18,40.0,38.0,5.0,7.0,6.0,4.0,1306.0,False,,POLITBAROMETER
2002-02-08,40.0,39.0,4.0,8.0,6.0,3.0,1027.0,False,,POLITBAROMETER
2002-02-22,40.0,38.0,5.0,8.0,5.0,4.0,1191.0,False,,POLITBAROMETER
2002-03-08,41.0,37.0,5.0,8.0,5.0,4.0,1050.0,False,,POLITBAROMETER
2002-03-22,40.0,36.0,6.0,8.0,6.0,4.0,1274.0,False,,POLITBAROMETER
2002-04-12,41.0,36.0,6.0,8.0,5.0,4.0,1000.0,False,,POLITBAROMETER
2002-04-26,41.0,36.0,6.0,8.0,5.0,4.0,1287.0,False,,POLITBAROMETER
2002-05-10,41.0,36.0,6.0,8.0,5.0,4.0,1014.0,False,,POLITBAROMETER
2002-05-31,40.0,35.0,6.0,9.0,5.0,5.0,1312.0,False,,POLITBAROMETER
2002-06-14,39.0,35.0,7.0,10.0,5.0,4.0,1018.0,False,,POLITBAROMETER
2002-06-28,39.0,36.0,7.0,9.0,5.0,4.0,1281.0,False,,POLITBAROMETER
2002-07-12,40.0,37.0,6.0,8.0,5.0,4.0,1031.0,False,,POLITBAROMETER
2002-07-26,41.0,36.0,6.0,9.0,5.0,3.0,1262.0,False,,POLITBAROMETER
2002-08-09,41.0,36.0,6.0,9.0,5.0,3.0,1106.0,False,,POLITBAROMETER
2002-08-16,41.0,36.0,7.0,9.0,4.0,3.0,1068.0,False,,POLITBAROMETER
2002-08-23,39.0,38.0,7.0,9.0,4.0,3.0,1292.0,False,,POLITBAROMETER
2002-08-30,39.0,38.0,7.0,8.0,4.0,4.0,1254.0,False,,POLITBAROMETER
2002-09-06,38.0,38.0,7.0,8.0,4.0,5.0,1476.0,False,,POLITBAROMETER
2002-09-13,37.0,40.0,7.0,7.5,4.5,4.0,1326.0,False,,POLITBAROMETER
2002-09-22,38.5,38.5,8.6,7.4,4.0,3.0,,True,,POLITBAROMETER
2002-09-22,38.5,38.5,8.6,7.4,4.0,3.0,,True,,POLITBAROMETER
2002-10-18,40.0,38.0,8.0,6.0,4.0,4.0,1277.0,False,,POLITBAROMETER
2002-11-15,44.0,34.0,9.0,5.0,4.0,4.0,1268.0,False,,POLITBAROMETER
2002-12-13,46.0,32.0,9.0,5.0,4.0,4.0,1280.0,False,,POLITBAROMETER
2003-01-24,47.0,31.0,9.0,5.0,4.0,4.0,1333.0,False,,POLITBAROMETER
2003-02-07,48.0,30.0,9.0,6.0,4.0,3.0,1308.0,False,,POLITBAROMETER
2003-02-21,48.0,30.0,9.0,6.0,4.0,3.0,1267.0,False,,POLITBAROMETER
2003-03-14,48.0,31.0,9.0,5.0,4.0,3.0,1252.0,False,,POLITBAROMETER
2003-03-28,47.0,32.0,9.0,5.0,4.0,3.0,1274.0,False,,POLITBAROMETER
2003-04-11,45.0,33.0,9.0,6.0,4.0,3.0,1297.0,False,,POLITBAROMETER
2003-05-02,46.0,32.0,9.0,6.0,4.0,3.0,1230.0,False,,POLITBAROMETER
2003-05-16,46.0,31.0,9.0,6.0,4.0,4.0,1263.0,False,,POLITBAROMETER
2003-06-06,46.0,31.0,9.0,6.0,4.0,4.0,1255.0,False,,POLITBAROMETER
2003-06-27,47.0,30.0,9.0,6.0,4.0,4.0,1284.0,False,,POLITBAROMETER
2003-07-18,46.0,32.0,8.0,6.0,4.0,4.0,1272.0,False,,POLITBAROMETER
2003-08-22,45.0,31.0,10.0,6.0,4.0,4.0,1189.0,False,,POLITBAROMETER
2003-09-12,45.0,30.0,10.0,7.0,4.0,4.0,1251.0,False,,POLITBAROMETER
2003-10-10,47.0,30.0,10.0,6.0,3.0,4.0,1274.0,False,,POLITBAROMETER
2003-10-24,48.0,29.0,9.0,6.0,4.0,4.0,1199.0,False,,POLITBAROMETER
2003-11-14,48.0,29.0,10.0,5.0,4.0,4.0,1240.0,False,,POLITBAROMETER
2003-11-28,48.0,29.0,10.0,5.0,4.0,4.0,1274.0,False,,POLITBAROMETER
2003-12-12,48.0,28.0,10.0,5.0,4.0,5.0,1263.0,False,,POLITBAROMETER
2004-01-16,48.0,28.0,10.0,5.0,4.0,5.0,1305.0,False,,POLITBAROMETER
2004-02-13,48.0,29.0,10.0,5.0,4.0,4.0,1250.0,False,,POLITBAROMETER
2004-03-05,49.0,28.0,10.0,5.0,4.0,4.0,1285.0,False,,POLITBAROMETER
2004-03-19,48.0,29.0,10.0,5.0,4.0,4.0,1230.0,False,,POLITBAROMETER
2004-04-02,48.0,29.0,10.0,5.0,4.0,4.0,1315.0,False,,POLITBAROMETER
2004-04-23,48.0,29.0,10.0,5.0,4.0,4.0,1289.0,False,,POLITBAROMETER
2004-05-14,48.0,28.0,10.0,6.0,4.0,4.0,1213.0,False,,POLITBAROMETER
2004-05-28,48.0,29.0,9.0,6.0,4.0,4.0,1217.0,False,,POLITBAROMETER
2004-06-25,46.0,27.0,11.0,7.0,5.0,4.0,1230.0,False,,POLITBAROMETER
2004-07-09,46.0,25.0,12.0,7.0,5.0,5.0,1255.0,False,,POLITBAROMETER
2004-07-23,45.0,26.0,11.0,7.0,5.0,6.0,1225.0,False,,POLITBAROMETER
2004-08-27,45.0,26.0,10.0,6.0,6.0,7.0,1173.0,False,,POLITBAROMETER
2004-09-24,44.0,27.0,10.0,6.0,6.0,7.0,1245.0,False,,POLITBAROMETER
2004-10-15,42.0,28.0,11.0,6.0,6.0,7.0,1240.0,False,,POLITBAROMETER
2004-10-29,40.0,30.0,11.0,7.0,6.0,6.0,1239.0,False,,POLITBAROMETER
2004-11-12,41.0,29.0,11.0,7.0,6.0,6.0,1265.0,False,,POLITBAROMETER
2004-11-26,41.0,30.0,10.0,7.0,6.0,6.0,1289.0,False,,POLITBAROMETER
2004-12-10,41.0,30.0,10.0,7.0,6.0,6.0,1233.0,False,,POLITBAROMETER
